"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","996","","","","0"
"2021","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","648","","","","0"
"1992","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","29442","","","","0"
"1993","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","30039","","","","0"
"1994","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","29925","","","","0"
"1995","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","30156","","","","0"
"1996","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","29523","","","","0"
"1997","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","27600","","","","0"
"1998","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","25458","","","","0"
"1999","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","26109","","","","0"
"2000","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","26604","","","","0"
"2001","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","26403","","","","0"
"2002","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","28185","","","","0"
"2003","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","29496","","","","0"
"2004","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","30684","","","","0"
"2005","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","30279","","","","0"
"2006","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","31359","","","","0"
"2007","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","31947","","","","0"
"2008","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","31623","","","","0"
"2009","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","31608","","","","0"
"2010","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","32805","","","","0"
"2011","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","33030","","","","0"
"2012","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","33159","","","","0"
"2013","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","32958","","","","0"
"2014","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","32628","","","","0"
"2015","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","32256","","","","0"
"2016","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","26949","","","","0"
"2017","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","28302","","","","0"
"2018","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","28980","","","","0"
"2019","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","28944","","","","0"
"2020","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","29073","","","","0"
"2021","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, gender","Number","223","units","0","v79575629","1.1.1.1.3.1","30816","","","","0"
"1992","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","9555","","","","0"
"1993","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","9846","","","","0"
"1994","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","10191","","","","0"
"1995","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","10350","","","","0"
"1996","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","10698","","","","0"
"1997","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","10695","","","","0"
"1998","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","11250","","","","0"
"1999","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","11346","","","","0"
"2000","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","13863","","","","0"
"2001","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","15123","","","","0"
"2002","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","15714","","","","0"
"2003","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","17061","","","","0"
"2004","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","19002","","","","0"
"2005","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","17709","","","","0"
"2006","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","17835","","","","0"
"2007","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","18750","","","","0"
"2008","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","18693","","","","0"
"2009","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","18993","","","","0"
"2010","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","19524","","","","0"
"2011","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","20055","","","","0"
"2012","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","20175","","","","0"
"2013","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","21498","","","","0"
"2014","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","21018","","","","0"
"2015","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","21663","","","","0"
"2016","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","20979","","","","0"
"2017","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","21051","","","","0"
"2018","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","21102","","","","0"
"2019","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","21804","","","","0"
"2020","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","21771","","","","0"
"2021","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender","Number","223","units","0","v79575633","1.1.1.1.4.1","22155","","","","0"
"1992","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","22260","","","","0"
"1993","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","23343","","","","0"
"1994","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","23844","","","","0"
"1995","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","24087","","","","0"
"1996","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","24681","","","","0"
"1997","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","24210","","","","0"
"1998","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","21273","","","","0"
"1999","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","20901","","","","0"
"2000","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","39063","","","","0"
"2001","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","39228","","","","0"
"2002","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","40830","","","","0"
"2003","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","43386","","","","0"
"2004","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","45459","","","","0"
"2005","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","45528","","","","0"
"2006","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","45972","","","","0"
"2007","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","48198","","","","0"
"2008","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","45561","","","","0"
"2009","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","46533","","","","0"
"2010","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","46071","","","","0"
"2011","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","46977","","","","0"
"2012","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","46557","","","","0"
"2013","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","48864","","","","0"
"2014","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","48546","","","","0"
"2015","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","46920","","","","0"
"2016","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","45471","","","","0"
"2017","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","44757","","","","0"
"2018","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","45036","","","","0"
"2019","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","43971","","","","0"
"2020","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","44223","","","","0"
"2021","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, gender","Number","223","units","0","v79575637","1.1.1.1.5.1","43914","","","","0"
"1992","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","41196","","","","0"
"1993","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","42960","","","","0"
"1994","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","44214","","","","0"
"1995","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","44976","","","","0"
"1996","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","45435","","","","0"
"1997","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","44430","","","","0"
"1998","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","44652","","","","0"
"1999","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, gender","Number","223","units","0","v79575641","1.1.1.1.6.1","43707","","","","0"
